NLR 7301 Flapped
Transition
Upper Surface = 100 %
Lower Surface = 100 %
Mach	0
Element:	1	2
Pressure Coefficient Distributions
	Angle of Attack	5.00
	Cp*	-7.13
	M cr.	0.29
Element	1
x	y
0.78325	0.01244	0.99661
0.77861	0.01365	-0.83134
0.77121	0.01536	-0.69369
0.76325	0.01710	-0.65587
0.75472	0.01904	-0.67644
0.74553	0.02117	-0.72079
0.73565	0.02342	-0.74395
0.72510	0.02578	-0.75932
0.71391	0.02827	-0.78326
0.70223	0.03087	-0.81555
0.69017	0.03352	-0.84966
0.67784	0.03618	-0.88272
0.66534	0.03884	-0.91679
0.65276	0.04146	-0.95435
0.64017	0.04403	-0.99425
0.62765	0.04651	-1.03506
0.61520	0.04889	-1.07415
0.60283	0.05116	-1.11291
0.59056	0.05331	-1.14904
0.57836	0.05534	-1.18405
0.56624	0.05725	-1.21664
0.55416	0.05903	-1.24684
0.54212	0.06069	-1.27546
0.53008	0.06222	-1.29634
0.51801	0.06363	-1.31499
0.50588	0.06492	-1.33091
0.49368	0.06610	-1.34240
0.48138	0.06718	-1.35373
0.46899	0.06816	-1.36267
0.45649	0.06905	-1.37159
0.44388	0.06985	-1.38028
0.43117	0.07056	-1.38977
0.41838	0.07120	-1.40235
0.40551	0.07174	-1.41315
0.39258	0.07221	-1.42732
0.37959	0.07260	-1.43940
0.36655	0.07290	-1.45479
0.35348	0.07313	-1.46992
0.34039	0.07327	-1.48669
0.32728	0.07335	-1.50735
0.31419	0.07334	-1.52843
0.30113	0.07326	-1.55171
0.28811	0.07311	-1.57844
0.27516	0.07287	-1.60503
0.26230	0.07256	-1.63514
0.24954	0.07217	-1.66806
0.23692	0.07171	-1.70339
0.22447	0.07117	-1.74141
0.21223	0.07057	-1.78301
0.20024	0.06989	-1.82803
0.18855	0.06916	-1.87721
0.17721	0.06836	-1.92967
0.16627	0.06752	-1.98667
0.15578	0.06664	-2.04922
0.14577	0.06572	-2.11479
0.13628	0.06478	-2.18496
0.12733	0.06382	-2.25968
0.11892	0.06286	-2.34074
